CustomerID,Age,Gender,Region,Occupation,NetworkType,ServiceProvider,PlanType,PlanCost,ContractLength,CallMinutesPerMonth,DataUsagePerMonth(GB),TextMessagesPerMonth,InternationalCallMinutes,ChurnStatus,CustomerSatisfaction,ComplaintsLodged,PromotionsAvailed,MonthlyCharges,TotalRevenue,PaymentMethod,DeviceType,NumberOfSIMs,RoamingStatus,LoyaltyProgramParticipation,ReferralProgramParticipation
1,59,Male,Rural,Student,4G,Jio,Prepaid,1231,12,1743,34.62,217,14,Yes,2,Yes,No,4402,84174,Net Banking,Tablet,2,Yes,Yes,Yes
2,44,Female,Rural,Working Professional,4G,Airtel,Postpaid,1976,24,442,8.89,450,47,No,3,No,Yes,2002,60921,UPI,Smartphone,2,Yes,Yes,Yes
3,45,Female,Rural,Working Professional,4G,Jio,Prepaid,407,6,2324,45.88,324,88,Yes,3,Yes,No,3889,17216,Credit Card,Tablet,2,Yes,No,No
4,26,Male,Urban,Working Professional,5G,Jio,Postpaid,311,6,2992,25.43,163,17,No,3,No,No,334,9896,Debit Card,Tablet,2,No,No,Yes
5,19,Male,Urban,Retired,5G,Vodafone,Prepaid,1438,6,2143,6.03,426,19,No,5,Yes,No,583,54869,UPI,Tablet,3,No,Yes,No
6,28,Male,Urban,Unemployed,5G,Airtel,Postpaid,1310,6,2451,42.74,61,11,No,5,No,No,3707,77587,UPI,Basic Phone,1,Yes,Yes,Yes
7,58,Male,Rural,Unemployed,4G,Airtel,Postpaid,1049,12,997,28.74,182,5,No,3,No,No,4718,34250,Debit Card,Tablet,3,Yes,No,No
8,32,Female,Urban,Unemployed,5G,Jio,Prepaid,1819,6,2600,42.75,330,12,No,5,Yes,Yes,2167,33475,Net Banking,Tablet,1,Yes,Yes,No
9,19,Female,Urban,Unemployed,5G,Airtel,Prepaid,1114,0,1613,46.73,437,92,No,5,Yes,No,446,90234,Debit Card,Tablet,1,Yes,Yes,Yes
10,68,Male,Rural,Student,4G,Airtel,Prepaid,614,6,199,6.34,158,20,No,4,No,Yes,2096,60246,UPI,Basic Phone,2,No,Yes,Yes
11,34,Female,Urban,Student,5G,Vodafone,Postpaid,1284,0,175,12.08,419,54,No,5,No,Yes,2060,44656,Net Banking,Basic Phone,1,No,Yes,Yes
12,51,Male,Rural,Student,4G,Airtel,Prepaid,470,12,617,30.39,258,94,Yes,2,Yes,Yes,2710,85038,Net Banking,Tablet,2,No,Yes,Yes
13,51,Male,Rural,Working Professional,4G,Jio,Postpaid,1097,0,2708,9.02,479,0,No,3,No,No,3613,14107,UPI,Tablet,1,Yes,Yes,No
14,64,Female,Rural,Working Professional,5G,Vodafone,Postpaid,1096,24,1959,30.95,128,8,No,5,No,No,2692,39774,UPI,Tablet,1,Yes,No,Yes
15,19,Male,Urban,Student,5G,Vodafone,Prepaid,1504,0,744,34.59,332,75,No,4,No,No,4847,36819,Credit Card,Smartphone,3,Yes,Yes,No
16,52,Female,Rural,Housewife,4G,Vodafone,Prepaid,672,0,1893,9.94,68,26,No,5,Yes,Yes,3402,97479,UPI,Smartphone,3,Yes,No,Yes
17,62,Male,Rural,Working Professional,4G,Jio,Postpaid,882,24,2855,40.92,468,47,No,4,Yes,Yes,2094,51949,Credit Card,Basic Phone,1,No,Yes,No
18,55,Female,Rural,Unemployed,5G,Vodafone,Postpaid,1892,6,1839,23.57,248,82,No,5,Yes,No,4474,63207,Credit Card,Basic Phone,1,No,Yes,No
19,24,Female,Urban,Student,5G,Jio,Postpaid,1786,12,2908,17.48,233,53,No,3,Yes,Yes,1963,13123,Net Banking,Smartphone,3,No,No,Yes
20,21,Female,Urban,Housewife,5G,Airtel,Prepaid,463,24,2524,37.33,324,36,Yes,1,Yes,No,3338,33458,Debit Card,Basic Phone,3,No,Yes,Yes
21,22,Male,Urban,Student,5G,Vodafone,Postpaid,720,24,1193,31.85,470,22,Yes,3,No,Yes,2228,66946,UPI,Smartphone,1,Yes,No,Yes
22,21,Female,Urban,Unemployed,5G,Jio,Postpaid,852,0,2361,37.77,412,55,Yes,1,No,No,1453,7789,UPI,Basic Phone,1,No,No,No
23,40,Female,Rural,Working Professional,5G,Jio,Postpaid,135,0,2822,39.7,157,35,Yes,3,Yes,No,2098,3613,Net Banking,Basic Phone,2,No,Yes,No
24,29,Female,Urban,Working Professional,4G,Jio,Prepaid,455,12,1032,17.16,170,65,No,4,No,Yes,4214,13687,Credit Card,Smartphone,3,Yes,No,No
25,65,Female,Rural,Student,4G,Jio,Prepaid,1060,12,504,36.01,451,17,No,4,No,Yes,1181,57829,Debit Card,Basic Phone,3,No,Yes,Yes
26,36,Female,Rural,Unemployed,4G,Vodafone,Postpaid,1535,12,1770,10.83,463,87,No,3,No,Yes,3599,7302,Net Banking,Smartphone,3,No,No,Yes
27,42,Female,Rural,Housewife,4G,Jio,Postpaid,1428,6,200,5.02,170,22,No,5,No,No,1192,24898,UPI,Smartphone,2,Yes,No,No
28,22,Female,Urban,Working Professional,5G,Airtel,Postpaid,651,24,2655,1.9,4,42,No,4,No,No,3639,97843,Net Banking,Tablet,3,Yes,Yes,Yes
29,52,Male,Rural,Unemployed,4G,Jio,Prepaid,1631,24,1193,34.01,241,16,No,3,Yes,Yes,2949,43574,UPI,Tablet,2,Yes,Yes,No
30,33,Male,Urban,Working Professional,5G,Airtel,Postpaid,121,0,2714,7.16,103,48,No,5,Yes,Yes,4889,53737,Credit Card,Basic Phone,2,Yes,Yes,No
31,66,Male,Rural,Working Professional,4G,Jio,Prepaid,128,0,2731,31.73,37,69,Yes,2,No,Yes,3022,15539,UPI,Basic Phone,3,Yes,No,No
32,24,Male,Urban,Student,5G,Jio,Postpaid,1520,24,1993,16.31,439,18,No,5,Yes,No,3850,72255,Credit Card,Smartphone,2,No,No,Yes
33,37,Male,Rural,Working Professional,4G,Vodafone,Prepaid,1030,6,1381,35.2,85,14,No,5,Yes,Yes,3257,97782,Debit Card,Tablet,3,Yes,No,No
34,22,Female,Urban,Working Professional,5G,Airtel,Postpaid,538,24,1711,20.6,461,96,No,4,Yes,Yes,729,17148,Credit Card,Basic Phone,3,No,No,Yes
35,24,Female,Urban,Working Professional,5G,Airtel,Prepaid,691,0,728,8.66,9,83,No,5,Yes,Yes,2672,93607,Net Banking,Basic Phone,2,No,No,No
36,28,Male,Urban,Working Professional,4G,Vodafone,Prepaid,882,0,1675,18.87,462,57,Yes,3,No,No,2773,18995,Net Banking,Tablet,3,Yes,No,No
37,41,Male,Rural,Unemployed,4G,Jio,Prepaid,1140,12,2714,28.61,304,25,No,3,Yes,Yes,4482,45542,Debit Card,Basic Phone,1,Yes,No,No
38,52,Female,Rural,Working Professional,4G,Jio,Postpaid,1010,12,2665,11.51,375,0,No,4,No,No,259,49239,Net Banking,Basic Phone,1,No,Yes,Yes
